nid,title,regist_dt,relm,creat_yr,category,region,isbn,relte_area,writer,doc_prdctn_dt,cpyrht,job_se,url
6410073,"배급수계통에서 신경망을 이용한 잔류염소 및 THMs예측",20151022000111,정책연구자료,2007,환경,서울시전체,,서울물연구원,안재찬,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410073
6410074,"Effects of Pipe Materials on Biofilm Microbial Communities in Drinking Water Distribution System",20151022000110,정책연구자료,2007,환경,서울시전체,,서울물연구원,장현정,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410074
6410075,"Effect of phosphoric acid on the water quality in annular reactor",20151022000109,정책연구자료,2007,환경,서울시전체,,서울물연구원,최재호,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410075
6410076,"계절별 원수 특성이 플럭 성장에 미치는 영향",20151022000139,정책연구자료,2007,환경,서울시전체,,서울물연구원,송만식,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410076
6410077,"한강원수에 섬유상여과기를 이용한 가압식 막여과 시스템의 처리효율 평가",20151022000138,정책연구자료,2007,환경,서울시전체,,서울물연구원,김태균,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410077
6410078,"한강원수에 대한 중대형 막여과 고도정수처리장 설계 및 한국형 막여과 정수장 건설비 분석",20151022000137,정책연구자료,2007,환경,서울시전체,,서울물연구원,,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410078
6410079,"입상활성탄의 부착세균 및 표면물성변화 연구",20151022000136,정책연구자료,2007,환경,서울시전체,,서울물연구원,백영애,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410079
6410080,"염소 및 전기분해소독제의 Bacillus subtillis spore 소독능 비교연구",20151022000135,정책연구자료,2007,환경,서울시전체,,서울물연구원,최연규,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410080
6410081,"막 완결성 평가를 위한 압력손실시험 최적화 연구",20151022000134,정책연구자료,2007,환경,서울시전체,,서울물연구원,허현철,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410081
6410082,"막의 공극크기에 따른 바이러스 제거 특성에 대한 연구",20151022000133,정책연구자료,2007,환경,서울시전체,,서울물연구원,허현철,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410082
6410083,"노후여과지 이중여재 개량방안 연구",20151022000132,정책연구자료,2007,환경,서울시전체,,서울물연구원,조우현,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410083
6410084,"한강원수에서의 맛냄새물질제거를 위한 고도정수처리공정 최적 설계방안",20151022000131,정책연구자료,2007,환경,서울시전체,,서울물연구원,조우현,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410084
6410085,"UV소독에 의한 마이코박테리아 불활성화",20151022000129,정책연구자료,2007,환경,서울시전체,,서울물연구원,이은숙,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410085
6410086,"서울시 급수과정별 시설에서의 수질변화:2007년도 수질경향",20151022000128,정책연구자료,2007,환경,서울시전체,,서울물연구원,이옥재,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410086
6410087,"바이러스 세포병변효과 및 세포성장의 이해를 돕기 위한 자료의 시각화",20151022000127,정책연구자료,2007,환경,서울시전체,,서울물연구원,김세철,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410087
6410088,"한강 상수원에서 수중 분원성 바이러스의 분포 특성",20151022000126,정책연구자료,2007,환경,서울시전체,,서울물연구원,김세철,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410088
6410089,"Inactivation of Environmental Mycobacteria by Free Chlorine and UV",20151022000125,정책연구자료,2007,환경,서울시전체,,서울물연구원,이은숙,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410089
6410090,"Monitoring of hazardous compounds in tributary effluents",20151022000124,정책연구자료,2007,환경,서울시전체,,서울물연구원,김상은,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410090
6410091,"Determination of trace level perchlorate in water by IC-MS/MS",20151022000123,정책연구자료,2007,환경,서울시전체,,서울물연구원,김현희,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410091
6410092,"Optimization of Analytical Methods on phosphorus by using Oxygen gas",20151022000122,정책연구자료,2007,환경,서울시전체,,서울물연구원,정의선,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410092
6410093,"Determination of 94Zr and 133Cs by ICP/MS and their behavior through water treatment processes",20151022000121,정책연구자료,2007,환경,서울시전체,,서울물연구원,정관조,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410093
6410094,"AAS와 ICP/MS를 이용한 수은(Hg) 분석 특성",20151022000120,정책연구자료,2007,환경,서울시전체,,서울물연구원,임희아,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410094
6410095,"흡수분광법과 ICP/MS를 이용한 인(P) 분석법에 관한 연구",20151022000119,정책연구자료,2007,환경,서울시전체,,서울물연구원,정의선,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410095
6410096,"정수처리공정에서의 As(Ⅲ, Ⅴ)와 크롬(Ⅲ, Ⅵ)의 거동",20151022000108,정책연구자료,2007,환경,서울시전체,,서울물연구원,정관조,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410096
6410097,"다양한 소독제에 의한 감염성 크립토스포리디움 불활성화율 평가",20151022000107,정책연구자료,2007,환경,서울시전체,,서울물연구원,변승헌,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410097
6410098,"정수처리공정에서 NOM 거동과 소독부산물 발생특성",20151022000106,정책연구자료,2007,환경,서울시전체,,서울물연구원,김상은,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410098
6410099,"배급수계통에서 잔류염소 및 THMs 분포 예측에 관한 연구",20151022000116,정책연구자료,2007,환경,서울시전체,,서울물연구원,안재찬,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410099
6410100,"PCR 및 RT-PCR을 이용한 하천수 중 Giardia lamblia 검출",20151022000117,정책연구자료,2007,환경,서울시전체,,서울물연구원,조은주,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410100
6410101,"서울시 상수계통에서 병원성균 Aeromonas (감마-프로테오박테리아) 분포연구",20151022000118,정책연구자료,2007,환경,서울시전체,,서울물연구원,이은숙,20090422,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410101
6410102,"RT-PCR을 이용한 환경수 중 지아디아 람블리아 동정",20151022000050,정책연구자료,2005,환경,서울시전체,,서울물연구원,조은주,20070620,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410102
6410103,"하절기 상수도계통에서 소독부산물 분포특성에 관한 연구",20151022000103,정책연구자료,2006,환경,서울시전체,,서울물연구원,김상은,20070620,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410103
6410104,"Purge & Trap를 이용한 한강수계 및 서울시 수돗물의 1,4-다이옥산 분포 특성",20151022000049,정책연구자료,2005,환경,서울시전체,,서울물연구원,김상은,20070620,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410104
6410105,"비소 종 (Ⅲ, Ⅴ)별 한강수계내 분포 및 정수처리 공정별 거동",20151022000104,정책연구자료,2006,환경,서울시전체,,서울물연구원,정관조,20070620,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410105
6410106,"한강수계에서 인의 분석방법 비교 및 분포특성",20151022000057,정책연구자료,2006,환경,서울시전체,,서울물연구원,정의선,20070620,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410106
6410107,"정수처리공정에서 천연유기물질과 염소소독부산물 생성능 변화",20151022000058,정책연구자료,2006,환경,서울시전체,,서울물연구원,박현,20070620,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410107
6410108,"정수처리 공정별 비소 종(Ⅲ, Ⅴ)별 분포 및 거동",20151022000059,정책연구자료,2006,환경,서울시전체,,서울물연구원,정관조,20070620,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410108
6410109,"Speciation of Arsenic in Water by HPLC-ICP-DRCMS Using Oxygen",20151022000100,정책연구자료,2006,환경,서울시전체,,서울물연구원,정관조,20070620,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410109
6410110,"한강본류와 유입지천의 천연유기물질과 염소소독부산물 생성능 고찰",20151022000101,정책연구자료,2006,환경,서울시전체,,서울물연구원,박현,20070620,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410110
6410111,"ICP-DRCMS를 이용한 한강수계내 비소 분포 및 분석방법 정립",20151022000102,정책연구자료,2006,환경,서울시전체,,서울물연구원,정관조,20070620,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410111
6410112,"Speciation of chromium in water by HPLC-ICP-MS",20151022000052,정책연구자료,2005,환경,서울시전체,,서울물연구원,정관조,20070620,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410112
6410113,"모래 단층 여과지의 여과사 오염도 평가에 관한 연구",20151022000046,정책연구자료,2005,환경,서울시전체,,서울물연구원,정종순,20070618,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410113
6410114,"서울시 수돗물 배급수 계통에서 소독부산물 분포특성",20151022000056,정책연구자료,2006,환경,서울시전체,,서울물연구원,장현정,20070618,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410114
6410115,"왕숙천 유입에 따른 한강본류의 천연유기물질과 염소소독부산물 생성능 변화",20151022000053,정책연구자료,2006,환경,서울시전체,,서울물연구원,박현,20070618,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410115
6410116,"ICP-DRCMS를 이용한 수중의 비소 측정",20151022000054,정책연구자료,2006,환경,서울시전체,,서울물연구원,정관조,20070618,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410116
6410117,"한강수계에서의 크롬(Ⅲ,Ⅵ) 종(species) 분포 및 분석방법 정립",20151022000047,정책연구자료,2005,환경,서울시전체,,서울물연구원,정관조,20070618,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410117
6410118,"우라늄(Uranium)의 한강수계내 분포 및 정수처리 공정별 거동 특성",20151022000048,정책연구자료,2005,환경,서울시전체,,서울물연구원,정관조,20070618,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410118
6410119,"음용수에서 소독부산물과 이취미 유발물질의 끓임 효과",20151022000055,정책연구자료,2006,환경,서울시전체,,서울물연구원,김창모,20070618,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410119
6410120,"Residual Chlorine Management in Water Distribution System 
Using Network Modelling Technique - Case Study in Seoul City",20151022000043,정책연구자료,2005,환경,서울시전체,,서울물연구원,안재찬,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410120
6410121,"Predicting water pipe breaks using neural network",20151022000042,정책연구자료,2005,환경,서울시전체,,서울물연구원,안재찬,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410121
6410122,"Aop를 이용한 맛. 냄새 제거효과 연구",20151022000041,정책연구자료,2005,환경,서울시전체,,서울물연구원,백영애,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410122
6410123,"실증시설을 이용한 오존. 입상활성탄 고도정수처리 연구",20151022000026,정책연구자료,2004,환경,서울시전체,,서울물연구원,조우현,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410123
6410124,"정수장에서 사용중인 잔류염소연속측정기 성능평가에 관한 연구",20151022000045,정책연구자료,2005,환경,서울시전체,,서울물연구원,신풍식,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410124
6410125,"역세척수 재순환시 침전조건에 따른 원생동물 제거율 평가",20151022000044,정책연구자료,2005,환경,서울시전체,,서울물연구원,변승헌,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410125
6410126,"Analytical method to identify chromium species with HPLC-ICP-MS",20151022000040,정책연구자료,2005,환경,서울시전체,,서울물연구원,정관조,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410126
6410127,"상수도관 부식방지를 위한 탄산칼슘 포화지수인자 제어에 관한연구",20151022000039,정책연구자료,2005,환경,서울시전체,,서울물연구원,박영복,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410127
6410128,"한강 수계의 부식성 지수 제어 및 녹물 저감에 관한 연구",20151022000038,정책연구자료,2005,환경,서울시전체,,서울물연구원,박영복,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410128
6410129,"한강수계에서의 주석분포 특성 및 ICP-MS를 이용한 분석방법 정립",20151022000037,정책연구자료,2005,환경,서울시전체,,서울물연구원,정관조,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410129
6410130,"한강수계에서의 은분포 특성 및 ICP-MS를 이용한 분석방법 정립",20151022000036,정책연구자료,2005,환경,서울시전체,,서울물연구원,정관조,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410130
6410131,"상수도계에서의 휘발성유기화합물 및 소독부산물 고찰",20151022000035,정책연구자료,2005,환경,서울시전체,,서울물연구원,이인숙,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410131
6410132,"서울시 수돗물(배급수계통)에서의 소독부산물 분포 특성",20151022000034,정책연구자료,2005,환경,서울시전체,,서울물연구원,김창모,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410132
6410133,"상수도계통에서의 무기이온류 항목 고찰",20151022000033,정책연구자료,2005,환경,서울시전체,,서울물연구원,홍주희,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410133
6410134,"상수도계통에서의 무기금속류 힝목 고찰",20151022000032,정책연구자료,2005,환경,서울시전체,,서울물연구원,정의선,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410134
6410135,"취수원수 및 정수의 감시항목 수질검사",20151022000031,정책연구자료,2005,환경,서울시전체,,서울물연구원,조석주,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410135
6410136,"서울시 원.정수 수질현황",20151022000030,정책연구자료,2005,환경,서울시전체,,서울물연구원,정관조,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410136
6410137,"서울시 상수원(취수원)의 조류 및 조류독소 발생추이 분석",20151022000029,정책연구자료,2005,환경,서울시전체,,서울물연구원,조석주,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410137
6410138,"취수원 수질동향 고찰",20151022000028,정책연구자료,2005,환경,서울시전체,,서울물연구원,박창민,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410138
6410139,"상수원 수계 하천수 수질동향",20151022000027,정책연구자료,2005,환경,서울시전체,,서울물연구원,박창민,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410139
6410140,"상수도 계통에서 스타이렌다이머와 트라이머의 분석",20151022000025,정책연구자료,2004,환경,서울시전체,,서울물연구원,장현성,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410140
6410141,"Spme-GC/MS를 이용한 클로르단류의 정량과 한강 상수원의 조사연구",20151022000024,정책연구자료,2004,환경,서울시전체,,서울물연구원,김상은,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410141
6410142,"상수도 계통에서 가소제류 오염실태 조사연구",20151022000023,정책연구자료,2004,환경,서울시전체,,서울물연구원,이수원,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410142
6410143,"Detection and distribution of Aeromonas in Water Supplies",20151022000022,정책연구자료,2004,환경,서울시전체,,서울물연구원,이은숙,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410143
6410144,"Detection of Cryptospor idium parvum Pocysts in Environmental Water using PCR",20151022000021,정책연구자료,2004,환경,서울시전체,,서울물연구원,조은주,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410144
6410145,"DBP Control by lntermediate Chlorination in Water Treatment",20151022000020,정책연구자료,2004,환경,서울시전체,,서울물연구원,백영애,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410145
6410146,"GC/TOF-MS를 이용한 상수도계통에서 PCBs 조사연구",20151022000019,정책연구자료,2004,환경,서울시전체,,서울물연구원,김상은,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410146
6410147,"응집.침전 공법에서의 크립토스포리디움 및 지아디아 제거율 평가",20151022000014,정책연구자료,2004,환경,서울시전체,,서울물연구원,이목영,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410147
6410148,"세포배양기법을 이용한 수중 크립토스포리디움 감염성 평가",20151022000018,정책연구자료,2004,환경,서울시전체,,서울물연구원,이목영,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410148
6410149,"PCR을 이용한 환경수중의 지아디아 포낭 검출",20151022000017,정책연구자료,2004,환경,서울시전체,,서울물연구원,조은주,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410149
6410150,"세포배양기법을 이용한 환경수중의 지아디아 포낭 검출",20151022000016,정책연구자료,2004,환경,서울시전체,,서울물연구원,이목영,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410150
6410151,"상수도 계통에서의 비스페놀A 와 노닐페놀의 실태조사",20151022000015,정책연구자료,2004,환경,서울시전체,,서울물연구원,함영국,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410151
6410152,"서울시 정수처리 공정별 수처리 평가",20151022000001,정책연구자료,2003,환경,서울시전체,,서울물연구원,송만식,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410152
6410153,"서울시 수도꼭지 수질에 대한 고찰",20151022000013,정책연구자료,2003,환경,서울시전체,,서울물연구원,이순재,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410153
6410154,"상수도 계통서의 수질검사 결과",20151022000012,정책연구자료,2003,환경,서울시전체,,서울물연구원,노방식,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410154
6410155,"환경수중 Mycobacteria 검출기법 조사",20151022000011,정책연구자료,2003,환경,서울시전체,,서울물연구원,이은숙,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410155
6410156,"한강 상수원에서의 잔류농약 실태조사",20151022000010,정책연구자료,2003,환경,서울시전체,,서울물연구원,김상은,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410156
6410157,"상수도계통에서의의 무기이온류 항목 고찰",20151022000009,정책연구자료,2003,환경,서울시전체,,서울물연구원,홍주희,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410157
6410158,"상수도계통에서의 무기금속류 항목 고찰",20151022000008,정책연구자료,2003,환경,서울시전체,,서울물연구원,정의선,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410158
6410159,"서울시 상수도 계통에서의 수질감시 항목조사",20151022000004,정책연구자료,2003,환경,서울시전체,,서울물연구원,이인숙,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410159
6410160,"서울시 원.정수 수질현황 고찰",20151022000005,정책연구자료,2003,환경,서울시전체,,서울물연구원,정관조,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410160
6410161,"취수원수 수질동향 고찰",20151022000006,정책연구자료,2003,환경,서울시전체,,서울물연구원,박창민,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410161
6410162,"상수원 수계 하천수 수질동향 고찰",20151022000007,정책연구자료,2003,환경,서울시전체,,서울물연구원,박창민,20060627,"CC BY-NC-ND",I,https://opengov.seoul.go.kr/research/6410162
